Daily_Calories,Breakfast,Lunch,Dinner,Snacks,Water_Intake_L
4314,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.9
2045,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
3090,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,2
2615,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2
1451,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.2
1875,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.2
2671,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,1.6
2760,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.7
4070,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.8
2115,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.5
3704,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.1
2345,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,2.6
3810,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.7
2540,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.9
2619,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.7
4359,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,3.4
3290,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
3417,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.6
3150,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.7
3582,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.1
2635,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.1
2248,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.9
3041,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
2783,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.9
3512,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,4
2332,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
2115,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.2
3174,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.6
2478,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.1
2382,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.9
3498,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.1
1957,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,1.8
3195,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,2.7
3154,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.2
4125,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,3.4
2567,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
4114,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,3.9
1856,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.2
3180,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
3775,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.5
2025,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,1.5
1871,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.5
2497,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.6
1663,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.1
2371,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.3
2518,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.4
2122,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,1.6
2212,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.5
2787,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
3072,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.1
2151,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
2051,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.9
2271,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
4261,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.7
2252,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.1
2939,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.5
2078,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.8
3146,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.2
2209,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,2.2
2406,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,2.6
1776,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.8
1702,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.2
3397,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
2637,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
3774,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.6
2288,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.4
2838,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,2.1
1865,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,1.9
3899,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,3.8
2099,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,1.9
2486,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,3.3
2370,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.1
3216,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.9
1519,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
2899,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.6
3294,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.7
2946,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.6
2906,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.9
1831,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.8
1890,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.5
2257,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,1.6
3119,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.5
1955,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,2.4
1669,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.6
1879,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.8
1717,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
3192,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2
2407,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.5
2046,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.6
1269,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.4
3933,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.2
1782,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
3357,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.9
2948,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,3.7
1803,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2
3451,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.8
2354,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
2362,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.4
2724,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.6
3876,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,3.4
2666,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
2946,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.1
2935,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,1.8
3656,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.2
3241,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.4
3254,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.8
3228,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.5
2587,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.7
2396,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
3870,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.2
2828,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
1619,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,1.6
2904,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
2713,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.5
1731,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,1.7
2584,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.4
2445,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.7
3769,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.7
3633,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.7
2156,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,1.7
2272,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2
2475,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.8
2713,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,2.9
3330,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,3.1
2510,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.6
3529,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.4
1936,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
3269,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.2
3777,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.5
1770,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.2
4844,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.5
3282,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
2900,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.2
3545,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.6
2157,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.1
1277,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.5
2197,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
3193,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,2.6
3093,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.3
2170,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.2
3367,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.9
3067,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.2
3075,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,3.6
3267,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,3.5
2274,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,2.6
2145,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
1782,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
2421,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.9
2338,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.4
1882,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.9
3178,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.6
2255,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.1
2294,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,1.6
1689,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.6
2614,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,3.1
2138,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.9
3580,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,2.2
2090,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.1
3185,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.2
2136,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.1
2429,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,3
2179,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.7
2725,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.2
2447,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,3.2
3152,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.7
2643,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
2536,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.7
1342,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2
3793,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.8
2979,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.1
3581,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,4
3783,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,3
1282,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.7
2000,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.9
3294,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.7
